Movie Number,Movie Title,Movie Url,Date,Length,Genre,IMDb Rating,Filtered Genre,year,Int Length
2,The Amazing Spider-Man 2,http://www.imdb.com/title/tt1872181/,2 May 2014,2h 22min,"['Action', 'Adventure', 'Sci-Fi']",6.7,Sci-Fi/Fantasy,2014.0,142
11,Se7en,http://www.imdb.com/title/tt0114369/,22 September 1995,2h 7min,"['Crime', 'Drama', 'Mystery']",8.6,Crime,1995.0,127
12,Toy Story,http://www.imdb.com/title/tt0114709/,22 November 1995,1h 21min,"['Animation', 'Adventure', 'Comedy']",8.3,Comedy,1995.0,81
15,Fight Club,http://www.imdb.com/title/tt0137523/,15 October 1999,2h 19min,['Drama'],8.8,Drama,1999.0,139
17,Star Wars: Episode I - The Phantom Menace,http://www.imdb.com/title/tt0120915/,19 May 1999,2h 16min,"['Action', 'Adventure', 'Fantasy']",6.5,Sci-Fi/Fantasy,1999.0,136
26,Anchorman: The Legend of Ron Burgundy,http://www.imdb.com/title/tt0357413/,9 July 2004,1h 34min,['Comedy'],7.2,Comedy,2004.0,94
49,Avatar,http://www.imdb.com/title/tt0499549/,18 December 2009,2h 42min,"['Action', 'Adventure', 'Fantasy']",7.8,Sci-Fi/Fantasy,2009.0,162
54,Iron Man 2,http://www.imdb.com/title/tt1228705/,7 May 2010,2h 4min,"['Action', 'Adventure', 'Sci-Fi']",7.0,Sci-Fi/Fantasy,2010.0,124
58,TRON: Legacy,http://www.imdb.com/title/tt1104001/,17 December 2010,2h 5min,"['Action', 'Adventure', 'Sci-Fi']",6.8,Sci-Fi/Fantasy,2010.0,125
94,Life of Pi,http://www.imdb.com/title/tt0454876/,21 November 2012,2h 7min,"['Adventure', 'Drama', 'Fantasy']",7.9,Sci-Fi/Fantasy,2012.0,127
102,Project X,http://www.imdb.com/title/tt1636826/,2 March 2012,1h 28min,['Comedy'],6.7,Comedy,2012.0,88
110,Snow White and the Huntsman,http://www.imdb.com/title/tt1735898/,1 June 2012,2h 7min,"['Action', 'Adventure', 'Drama']",6.1,Undefined,2012.0,127
111,Taken 2,http://www.imdb.com/title/tt1397280/,5 October 2012,1h 32min,"['Action', 'Crime', 'Thriller']",6.3,Crime,2012.0,92
113,That's My Boy,http://www.imdb.com/title/tt1232200/,15 June 2012,1h 56min,"['Comedy', 'Drama']",5.6,Comedy,2012.0,116
118,Jack the Giant Slayer,http://www.imdb.com/title/tt1351685/,1 March 2013,1h 54min,"['Adventure', 'Fantasy']",6.3,Sci-Fi/Fantasy,2013.0,114
123,Spring Breakers,http://www.imdb.com/title/tt2101441/,22 March 2013,1h 34min,"['Crime', 'Drama']",5.3,Crime,2013.0,94
128,Olympus Has Fallen,http://www.imdb.com/title/tt2302755/,22 March 2013,1h 59min,"['Action', 'Thriller']",6.5,Action/Adventure,2013.0,119
156,Antiviral,http://www.imdb.com/title/tt2099556/,13 February 2013,1h 48min,"['Horror', 'Sci-Fi', 'Thriller']",5.7,Sci-Fi/Fantasy,2013.0,108
